partition,source_record_id,component_id,source_count,candidate_count,source_total_minor,candidate_total_minor,allocated_total_minor,remaining_minor,currency,cardinality,allocation_valid,duplicate_detected,conservation_valid,control_status
DEV,GATEWAY-GWY-242AB8E9,BANK-BNK-D45EDDAA+GATEWAY-GWY-242AB8E9+INVOICE-INV-F16B2159,2,1,10234742,5260131,5260131,4974611,INR,1B:1G:1I,False,False,False,PASS
DEV,BANK-BNK-53B1AC23,BANK-BNK-53B1AC23+GATEWAY-GWY-521CD13C+INVOICE-INV-4DAC94C3,2,1,24105850,12389167,12389167,11716683,INR,1B:1G:1I,False,False,False,PASS
DEV,GATEWAY-GWY-DD3E9F96,BANK-BNK-08305EE6+GATEWAY-GWY-DD3E9F96+INVOICE-INV-82151352,2,1,3917456,2013371,2013371,1904085,INR,1B:1G:1I,False,False,False,PASS
DEV,BANK-BNK-A4E6D000,BANK-BNK-A4E6D000+GATEWAY-GWY-6A16AC30,2,0,12966574,0,0,12966574,INR,1B:1G:0I,False,False,False,PASS
DEV,GATEWAY-GWY-278935F7,BANK-BNK-B5FEB124+GATEWAY-GWY-278935F7,2,0,18906664,0,0,18906664,INR,1B:1G:0I,False,False,False,PASS
DEV,INVOICE-INV-2B46C828,BANK-BNK-153208DC+GATEWAY-GWY-A40F354B+INVOICE-INV-2B46C828,2,1,25621628,13168199,13168199,12453429,INR,1B:1G:1I,False,False,False,PASS
DEV,BANK-BNK-E644A60F,BANK-BNK-E644A60F+GATEWAY-GWY-A98E3AEF,2,0,30347184,0,0,30347184,INR,1B:1G:0I,False,False,False,PASS
DEV,BANK-BNK-21B50685,BANK-BNK-21B50685+GATEWAY-GWY-C1326427,2,0,16819862,0,0,16819862,INR,1B:1G:0I,False,False,False,PASS
DEV,GATEWAY-GWY-FCC3E5C6,BANK-BNK-3320B5A6+GATEWAY-GWY-FCC3E5C6,2,0,3486780,0,0,3486780,INR,1B:1G:0I,False,False,False,PASS
DEV,GATEWAY-GWY-2C10702F,BANK-BNK-7CCB9E68+GATEWAY-GWY-2C10702F,2,0,25159576,0,0,25159576,INR,1B:1G:0I,False,False,False,PASS
DEV,GATEWAY-GWY-4AD3BDAC,BANK-BNK-D580CF97+GATEWAY-GWY-4AD3BDAC,2,0,29268004,0,0,29268004,INR,1B:1G:0I,False,False,False,PASS
DEV,GATEWAY-GWY-68080BB5,BANK-BNK-A991C424+GATEWAY-GWY-68080BB5,2,0,22640492,0,0,22640492,INR,1B:1G:0I,False,False,False,PASS
DEV,BANK-BNK-560C5733,BANK-BNK-560C5733+GATEWAY-GWY-67C4B1BA+INVOICE-INV-EBC81D38,2,1,1449948,745199,745199,704749,INR,1B:1G:1I,False,False,False,PASS
DEV,BANK-BNK-B2B8C51E,BANK-BNK-B2B8C51E+GATEWAY-GWY-EB70FFEF+INVOICE-INV-5E02CF55,2,1,34474584,17718163,17718163,16756421,INR,1B:1G:1I,False,False,False,PASS
DEV,BANK-BNK-1FBF283D,BANK-BNK-1FBF283D+GATEWAY-GWY-8D937A28+INVOICE-INV-C331F1E5,2,1,15939644,8192158,8192158,7747486,INR,1B:1G:1I,False,False,False,PASS
DEV,BANK-BNK-FC4FAD31,BANK-BNK-FC4FAD31+GATEWAY-GWY-A7DDA9D5+INVOICE-INV-22810D75,2,1,25362300,13034918,13034918,12327382,INR,1B:1G:1I,False,False,False,PASS
DEV,BANK-BNK-4C299F24,BANK-BNK-4C299F24+GATEWAY-GWY-2FAAA4DA,2,0,12875294,0,0,12875294,INR,1B:1G:0I,False,False,False,PASS
DEV,INVOICE-INV-9B16F0D4,BANK-BNK-9D9C8569+GATEWAY-GWY-7A38344D+INVOICE-INV-9B16F0D4,2,1,7412938,3809869,3809869,3603069,INR,1B:1G:1I,False,False,False,PASS
DEV,BANK-BNK-6676B865,BANK-BNK-6676B865+GATEWAY-GWY-3430459C,2,0,23375776,0,0,23375776,INR,1B:1G:0I,False,False,False,PASS
DEV,GATEWAY-GWY-A61491FA,BANK-BNK-454745B3+GATEWAY-GWY-A61491FA+INVOICE-INV-497A2FCD,2,1,35052924,18015400,18015400,17037524,INR,1B:1G:1I,False,False,False,PASS
DEV,BANK-BNK-99DB2FFB,BANK-BNK-99DB2FFB+GATEWAY-GWY-6B5F330E+INVOICE-INV-32B2F0C0,2,1,1324246,680595,680595,643651,INR,1B:1G:1I,False,False,False,PASS
DEV,INVOICE-INV-858EB4E8,BANK-BNK-ABAD306B+GATEWAY-GWY-21782C7F+INVOICE-INV-858EB4E8,2,1,25793308,13256434,13256434,12536874,INR,1B:1G:1I,False,False,False,PASS
DEV,BANK-BNK-CBCA6BAB,BANK-BNK-CBCA6BAB+GATEWAY-GWY-D4D1811A+INVOICE-INV-E3D4599B,2,1,16078774,8263663,8263663,7815111,INR,1B:1G:1I,False,False,False,PASS
DEV,BANK-BNK-43512CB1,BANK-BNK-43512CB1+GATEWAY-GWY-6609B584+INVOICE-INV-874AB740,2,1,818844,420843,420843,398001,INR,1B:1G:1I,False,False,False,PASS
DEV,BANK-BNK-0D9CC138,BANK-BNK-0D9CC138+GATEWAY-GWY-6F4B61DA+INVOICE-INV-FBAFDC53,2,1,11796806,6062952,6062952,5733854,INR,1B:1G:1I,False,False,False,PASS
DEV,GATEWAY-GWY-BD4A1579,BANK-BNK-3DEE2A37+GATEWAY-GWY-BD4A1579,2,0,11687232,0,0,11687232,INR,1B:1G:0I,False,False,False,PASS
DEV,GATEWAY-GWY-D360125A,BANK-BNK-95F8423E+GATEWAY-GWY-D360125A+INVOICE-INV-1B818524,2,1,27487582,14127204,14127204,13360378,INR,1B:1G:1I,False,False,False,PASS
DEV,BANK-BNK-3AC10A50,BANK-BNK-3AC10A50+GATEWAY-GWY-52669BC8+INVOICE-INV-EADB143C,2,1,34943908,17959372,17959372,16984536,INR,1B:1G:1I,False,False,False,PASS
DEV,GATEWAY-GWY-217A223D,BANK-BNK-13C63990+GATEWAY-GWY-217A223D+INVOICE-INV-71E2C8D0,2,1,18112536,9308912,9308912,8803624,INR,1B:1G:1I,False,False,False,PASS
DEV,GATEWAY-GWY-0D1BE0DA,BANK-BNK-7ED10486+GATEWAY-GWY-0D1BE0DA,2,0,13414920,0,0,13414920,INR,1B:1G:0I,False,False,False,PASS
DEV,INVOICE-INV-B02654C5,BANK-BNK-9BA9EE53+GATEWAY-GWY-8E4A9A38+INVOICE-INV-B02654C5,2,1,17973554,9237482,9237482,8736072,INR,1B:1G:1I,False,False,False,PASS
DEV,BANK-BNK-4736E1C6,BANK-BNK-4736E1C6+GATEWAY-GWY-F7437ED3,2,0,8634462,0,0,8634462,INR,1B:1G:0I,False,False,False,PASS
DEV,BANK-BNK-5A49513C,BANK-BNK-5A49513C+GATEWAY-GWY-F28E313D,2,0,13435310,0,0,13435310,INR,1B:1G:0I,False,False,False,PASS
DEV,INVOICE-INV-9118A4C2,BANK-BNK-6BB86BB4+GATEWAY-GWY-40AC52CF+INVOICE-INV-9118A4C2,2,1,15047248,7733512,7733512,7313736,INR,1B:1G:1I,False,False,False,PASS
DEV,GATEWAY-GWY-50380724,BANK-BNK-4ABC3C3B+GATEWAY-GWY-50380724,2,0,331718,0,0,331718,INR,1B:1G:0I,False,False,False,PASS
DEV,BANK-BNK-7912E99C,BANK-BNK-7912E99C+GATEWAY-GWY-2C1BFBF2,2,0,36241344,0,0,36241344,INR,1B:1G:0I,False,False,False,PASS
DEV,BANK-BNK-80045541,BANK-BNK-80045541+GATEWAY-GWY-2FA948ED+INVOICE-INV-9375CAB3,2,1,31423984,16150311,16150311,15273673,INR,1B:1G:1I,False,False,False,PASS
DEV,BANK-BNK-11112653,BANK-BNK-11112653+GATEWAY-GWY-68C2B884+INVOICE-INV-C9C3CF48,2,1,28996780,14902854,14902854,14093926,INR,1B:1G:1I,False,False,False,PASS
