component_id,source_count,candidate_count,source_total_minor,candidate_total_minor,allocated_total_minor,remaining_minor,currency,allocation_valid,duplicate_detected,control_status
COMP-1,2,1,13147440,6483287,13147440,6664153,INR,True,False,PASS
COMP-2,2,1,25979013,12810814,25979013,13168199,INR,True,False,PASS
COMP-3,2,1,10377502,5117371,10377502,5260131,INR,True,False,PASS
COMP-4,2,1,24442092,12052925,24442092,12389167,INR,True,False,PASS
COMP-5,2,1,30770484,15173592,30770484,15596892,INR,True,False,PASS
COMP-6,2,1,3972099,1958728,3972099,2013371,INR,True,False,PASS
COMP-7,1,1,9453332,9453332,9453332,0,INR,True,False,PASS
COMP-8,2,1,9880055,4872069,9880055,5007986,INR,True,False,PASS
COMP-9,2,1,29676251,14634002,29676251,15042249,INR,True,False,PASS
COMP-10,1,1,1743390,1743390,1743390,0,INR,True,False,PASS
COMP-11,2,1,25510516,12579788,25510516,12930728,INR,True,False,PASS
COMP-12,2,1,17054474,8409931,17054474,8644543,INR,True,False,PASS
COMP-13,2,1,22956294,11320246,22956294,11636048,INR,True,False,PASS
COMP-14,2,1,1470173,724974,1470173,745199,INR,True,False,PASS
COMP-15,2,1,16161980,7969822,16161980,8192158,INR,True,False,PASS
COMP-16,2,1,34955455,17237292,34955455,17718163,INR,True,False,PASS
COMP-17,2,1,25716068,12681150,25716068,13034918,INR,True,False,PASS
COMP-18,2,1,13054885,6437647,13054885,6617238,INR,True,False,PASS
COMP-19,2,1,7516338,3706469,7516338,3809869,INR,True,False,PASS
COMP-20,2,1,23701835,11687888,23701835,12013947,INR,True,False,PASS
COMP-21,2,1,35541862,17526462,35541862,18015400,INR,True,False,PASS
COMP-22,2,1,830265,409422,830265,420843,INR,True,False,PASS
COMP-23,1,1,5843616,5843616,5843616,0,INR,True,False,PASS
COMP-24,2,1,26153088,12896654,26153088,13256434,INR,True,False,PASS
COMP-25,2,1,16303050,8039387,16303050,8263663,INR,True,False,PASS
COMP-26,2,1,1342718,662123,1342718,680595,INR,True,False,PASS
COMP-27,2,1,11961355,5898403,11961355,6062952,INR,True,False,PASS
COMP-28,2,1,8754900,4317231,8754900,4437669,INR,True,False,PASS
COMP-29,1,1,6707460,6707460,6707460,0,INR,True,False,PASS
COMP-30,2,1,35431326,17471954,35431326,17959372,INR,True,False,PASS
COMP-31,2,1,18365180,9056268,18365180,9308912,INR,True,False,PASS
COMP-32,2,1,18224259,8986777,18224259,9237482,INR,True,False,PASS
COMP-33,2,1,27870995,13743791,27870995,14127204,INR,True,False,PASS
COMP-34,2,1,13622713,6717655,13622713,6905058,INR,True,False,PASS
COMP-35,2,1,15257136,7523624,15257136,7733512,INR,True,False,PASS
COMP-36,2,1,12188115,6010224,12188115,6177891,INR,True,False,PASS
COMP-37,2,1,16216786,7996848,16216786,8219938,INR,True,False,PASS
COMP-38,2,1,336345,165859,336345,170486,INR,True,False,PASS
COMP-39,2,1,23185982,11433510,23185982,11752472,INR,True,False,PASS
COMP-40,2,1,29401244,14498390,29401244,14902854,INR,True,False,PASS
COMP-41,2,0,21528009,0,0,21528009,INR,False,False,FAIL
COMP-42,2,1,35992048,17748458,35992048,18243590,INR,True,False,PASS
COMP-43,2,1,5226055,2577081,5226055,2648974,INR,True,False,PASS
COMP-44,2,1,31862303,15711992,31862303,16150311,INR,True,False,PASS
COMP-45,2,1,36746858,18120672,36746858,18626186,INR,True,False,PASS
COMP-46,2,1,29297361,14447163,29297361,14850198,INR,True,False,PASS
COMP-47,2,1,30346991,14964759,30346991,15382232,INR,True,False,PASS
COMP-48,2,1,34289033,16908665,34289033,17380368,INR,True,False,PASS
COMP-49,2,1,20783295,10248693,20783295,10534602,INR,True,False,PASS
COMP-50,2,1,12213978,6022977,12213978,6191001,INR,True,False,PASS
COMP-51,2,1,31014849,15294094,31014849,15720755,INR,True,False,PASS
COMP-52,2,1,7917384,3904234,7917384,4013150,INR,True,False,PASS
COMP-53,2,1,15661017,7722787,15661017,7938230,INR,True,False,PASS
COMP-54,2,1,14611153,7205076,14611153,7406077,INR,True,False,PASS
COMP-55,2,1,37463337,18473983,37463337,18989354,INR,True,False,PASS
COMP-56,2,1,2631430,1297615,2631430,1333815,INR,True,False,PASS
COMP-57,2,1,2511392,1238422,2511392,1272970,INR,True,False,PASS
COMP-58,2,1,20273683,9997392,20273683,10276291,INR,True,False,PASS
COMP-59,2,1,28699267,14152230,28699267,14547037,INR,True,False,PASS
COMP-60,2,1,38439295,18955249,38439295,19484046,INR,True,False,PASS
COMP-61,2,1,8872460,4375202,8872460,4497258,INR,True,False,PASS
COMP-62,2,1,5326767,2626744,5326767,2700023,INR,True,False,PASS
COMP-63,2,1,19456018,9594184,19456018,9861834,INR,True,False,PASS
COMP-64,2,1,8254838,4070639,8254838,4184199,INR,True,False,PASS
COMP-65,2,1,7112534,3507345,7112534,3605189,INR,True,False,PASS
COMP-66,2,1,33567660,16552940,33567660,17014720,INR,True,False,PASS
COMP-67,2,1,34491782,17008645,34491782,17483137,INR,True,False,PASS
COMP-68,2,1,14644441,7221491,14644441,7422950,INR,True,False,PASS
COMP-69,2,1,20115230,9919256,20115230,10195974,INR,True,False,PASS
COMP-70,2,1,5758792,2839785,5758792,2919007,INR,True,False,PASS
COMP-71,2,1,9926313,4894880,9926313,5031433,INR,True,False,PASS
COMP-72,2,1,19955352,9840416,19955352,10114936,INR,True,False,PASS
COMP-73,2,1,4092753,2018225,4092753,2074528,INR,True,False,PASS
COMP-74,2,1,33078285,16311619,33078285,16766666,INR,True,False,PASS
COMP-75,1,1,10693708,10693708,10693708,0,INR,True,False,PASS
COMP-76,2,1,27872328,13744449,27872328,14127879,INR,True,False,PASS
COMP-77,2,1,10776979,5314362,10776979,5462617,INR,True,False,PASS
COMP-78,2,1,2665885,1314606,2665885,1351279,INR,True,False,PASS
COMP-79,2,1,22069319,10882859,22069319,11186460,INR,True,False,PASS
COMP-80,2,1,14529066,7164597,14529066,7364469,INR,True,False,PASS
COMP-81,2,1,10315574,5086833,10315574,5228741,INR,True,False,PASS
COMP-82,2,1,6912278,3408594,6912278,3503684,INR,True,False,PASS
COMP-83,2,1,39171341,19316237,39171341,19855104,INR,True,False,PASS
COMP-84,2,1,29723531,14657317,29723531,15066214,INR,True,False,PASS
COMP-85,2,1,11567403,5704137,11567403,5863266,INR,True,False,PASS
COMP-86,2,1,10911727,5380809,10911727,5530918,INR,True,False,PASS
COMP-87,2,1,13742301,6776626,13742301,6965675,INR,True,False,PASS
COMP-88,2,1,37619407,18550944,37619407,19068463,INR,True,False,PASS
COMP-89,2,1,32579632,16065722,32579632,16513910,INR,True,False,PASS
COMP-90,2,1,17994184,8873322,17994184,9120862,INR,True,False,PASS
COMP-91,2,1,21469381,10587017,21469381,10882364,INR,True,False,PASS
COMP-92,2,1,33639940,16588583,33639940,17051357,INR,True,False,PASS
COMP-93,2,1,36558808,18027940,36558808,18530868,INR,True,False,PASS
COMP-94,2,1,18863837,9302167,18863837,9561670,INR,True,False,PASS
COMP-95,2,1,28477946,14043092,28477946,14434854,INR,True,False,PASS
