threshold,precision,recall,f1,safe_automation_rate,value_coverage_pct,false_auto_matches,false_auto_match_rate,review_rate,pending_rate
0.80,1.0000,0.1511,0.2625,0.1511,0.1420,0,0.0000,0.8356,0.0133
0.82,1.0000,0.1511,0.2625,0.1511,0.1420,0,0.0000,0.8356,0.0133
0.84,1.0000,0.1511,0.2625,0.1511,0.1420,0,0.0000,0.8356,0.0133
0.85,1.0000,0.1489,0.2592,0.1489,0.1405,0,0.0000,0.8378,0.0133
0.86,1.0000,0.1489,0.2592,0.1489,0.1405,0,0.0000,0.8378,0.0133
0.88,1.0000,0.1489,0.2592,0.1489,0.1405,0,0.0000,0.8378,0.0133
0.90,1.0000,0.1422,0.2490,0.1422,0.1354,0,0.0000,0.8444,0.0133
0.92,1.0000,0.1422,0.2490,0.1422,0.1354,0,0.0000,0.8444,0.0133
0.94,1.0000,0.1422,0.2490,0.1422,0.1354,0,0.0000,0.8444,0.0133
0.96,1.0000,0.1422,0.2490,0.1422,0.1354,0,0.0000,0.8444,0.0133
0.98,1.0000,0.1422,0.2490,0.1422,0.1354,0,0.0000,0.8444,0.0133
